,PERIOD,sign,diff_mean,probability,mean
79,31.0,0.0,-0.00027588,0.2857142857142857,291.04285714285714
80,31.0,1.0,0.00662791,0.42857142857142855,291.04285714285714
81,32.0,-1.0,-0.00661636,0.5714285714285714,294.6242857142857
82,32.0,1.0,0.028332549999999998,0.42857142857142855,294.6242857142857
83,33.0,-1.0,-0.00422752,0.42857142857142855,783.0728571428572
84,33.0,1.0,0.0159169175,0.5714285714285714,783.0728571428572
85,34.0,-1.0,-0.00553531,0.2857142857142857,860.4742857142858
86,34.0,0.0,0.0006356399999999999,0.14285714285714285,860.4742857142858
87,34.0,1.0,0.017048755,0.5714285714285714,860.4742857142858
88,35.0,-1.0,-0.00428847,0.14285714285714285,839.352857142857
89,35.0,0.0,-0.000345395,0.2857142857142857,839.352857142857
90,35.0,1.0,0.012483217500000001,0.5714285714285714,839.352857142857
91,36.0,-1.0,-0.008183379999999999,0.42857142857142855,331.58
92,36.0,0.0,-0.00010782,0.14285714285714285,331.58
93,36.0,1.0,0.004149733333333333,0.42857142857142855,331.58
94,37.0,-1.0,-0.00487528,0.14285714285714285,307.57
95,37.0,1.0,0.010498806666666667,0.8571428571428571,307.57
96,38.0,-1.0,-0.0102524,0.14285714285714285,282.3385714285714
97,38.0,0.0,-0.00051023,0.14285714285714285,282.3385714285714
98,38.0,1.0,0.0033434180000000003,0.7142857142857143,282.3385714285714
99,39.0,-1.0,-0.0030679099999999996,0.14285714285714285,284.08714285714285
100,39.0,1.0,0.009852725000000001,0.8571428571428571,284.08714285714285
101,40.0,-1.0,-0.00730978,0.14285714285714285,282.0757142857143
102,40.0,0.0,-0.00012194000000000001,0.42857142857142855,282.0757142857143
103,40.0,1.0,0.00433515,0.42857142857142855,282.0757142857143
104,41.0,-1.0,-0.0044436833333333335,0.42857142857142855,274.4942857142857
105,41.0,0.0,-0.00017805000000000002,0.14285714285714285,274.4942857142857
106,41.0,1.0,0.003639383333333333,0.42857142857142855,274.4942857142857
107,42.0,-1.0,-0.005371279999999999,0.5714285714285714,294.57428571428574
108,42.0,0.0,-0.00082815,0.14285714285714285,294.57428571428574
109,42.0,1.0,0.00298868,0.2857142857142857,294.57428571428574
110,43.0,-1.0,-0.007500456666666667,0.42857142857142855,277.5885714285714
111,43.0,0.0,-0.00013034,0.2857142857142857,277.5885714285714
112,43.0,1.0,0.004145565,0.2857142857142857,277.5885714285714
113,44.0,-1.0,-0.008541043333333333,0.42857142857142855,209.29285714285714
114,44.0,0.0,0.00057356,0.14285714285714285,209.29285714285714
115,44.0,1.0,0.002228303333333333,0.42857142857142855,209.29285714285714
116,45.0,-1.0,-0.008279165,0.2857142857142857,821.5257142857143
117,45.0,0.0,0.0008112349999999999,0.2857142857142857,821.5257142857143
118,45.0,1.0,0.004383349999999999,0.42857142857142855,821.5257142857143
119,46.0,-1.0,-0.006882010000000002,0.42857142857142855,180.04
120,46.0,1.0,0.0043392249999999995,0.5714285714285714,180.04
121,47.0,-1.0,-0.006875286666666667,0.42857142857142855,175.23000000000002
122,47.0,0.0,0.00026288,0.14285714285714285,175.23000000000002
123,47.0,1.0,0.005377526666666667,0.42857142857142855,175.23000000000002
124,48.0,-1.0,-0.0050988875,0.5714285714285714,183.8557142857143
125,48.0,0.0,-0.00037386,0.14285714285714285,183.8557142857143
126,48.0,1.0,0.005304815000000001,0.2857142857142857,183.8557142857143
